what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.m2e.logback.configuration,1.0.0.20110607-2117,"org.eclipse.m2e.logback.configuration",1354737868471
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.core",1354737868472
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1354737868472
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1354737868473
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1354737868473
started,bundle,org.eclipse.mylyn.commons.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.ui",1354737868474
started,bundle,org.eclipse.mylyn.context.core,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.core",1354737868474
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1354737868475
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1354737868475
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.tasks.ui",1354737868476
started,bundle,org.eclipse.mylyn.team.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.team.ui",1354737868477
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1354737868478
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1354737868478
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1354737868479
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1354737868480
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1354737868480
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1354737868482
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1354737868482
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1354737868482
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1354737868483
started,bundle,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.ide",1354737868484
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1354737868486
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1354737868486
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1354737868487
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1354737868490
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1354737868491
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1354737868492
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1354737868492
started,bundle,org.eclipse.wb.discovery.core,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.core",1354737868493
os,sysinfo,,,"win32",1354737868513
arch,sysinfo,,,"x86_64",1354737868513
ws,sysinfo,,,"win32",1354737868513
locale,sysinfo,,,"en_US",1354737868513
processors,sysinfo,,,"2",1354737868513
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1354737868513
java.runtime.version,sysinfo,,,"1.7.0_04-b22",1354737868513
java.specification.name,sysinfo,,,"Java Platform API Specification",1354737868513
java.specification.vendor,sysinfo,,,"Oracle Corporation",1354737868513
java.specification.version,sysinfo,,,"1.7",1354737868513
java.vendor,sysinfo,,,"Oracle Corporation",1354737868513
java.version,sysinfo,,,"1.7.0_04",1354737868513
java.vm.info,sysinfo,,,"mixed mode",1354737868513
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1354737868513
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1354737868513
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1354737868513
java.vm.specification.version,sysinfo,,,"1.7",1354737868513
java.vm.vendor,sysinfo,,,"Oracle Corporation",1354737868513
java.vm.version,sysinfo,,,"23.0-b21",1354737868513
started,bundle,org.eclipse.m2e.usagedata,1.0.0.20110607-2117,"org.eclipse.m2e.usagedata",1354737868544
started,bundle,org.eclipse.wb.discovery.ui,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.ui",1354737868740
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1354737869257
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1354737869266
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1354737869310
opened,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1354737871996
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1354737884325
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354737885067
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354737901617
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354737902339
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354737906131
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354737908200
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354737909097
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354737909271
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1354737914115
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.0.20110607-2117,"org.eclipse.m2e.logback.configuration",1354737914374
stopped,bundle,org.eclipse.m2e.discovery,1.0.0.20110607-2117,"org.eclipse.m2e.discovery",1354737914376
stopped,bundle,org.eclipse.m2e.refactoring,1.0.0.20110607-2117,"org.eclipse.m2e.refactoring",1354737914377
stopped,bundle,org.eclipse.m2e.editor,1.0.0.20110607-2117,"org.eclipse.m2e.editor",1354737914379
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.0.20110607-2117,"org.eclipse.m2e.editor.xml",1354737914380
stopped,bundle,org.eclipse.m2e.jdt,1.0.0.20110607-2117,"org.eclipse.m2e.jdt",1354737914382
stopped,bundle,org.eclipse.m2e.launching,1.0.0.20110607-2117,"org.eclipse.m2e.launching",1354737914397
stopped,bundle,org.eclipse.m2e.usagedata,1.0.0.20110607-2117,"org.eclipse.m2e.usagedata",1354737914398
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1354737914399
stopped,bundle,org.eclipse.help.ui,3.5.100.v20110425,"org.eclipse.help.ui",1354737914401
stopped,bundle,org.eclipse.help.webapp,3.6.0.v20110518,"org.eclipse.help.webapp",1354737914402
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.0.I20110525-0742,"org.eclipse.epp.mpc.ui",1354737914403
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1354737914404
